Cell,profile,xoff,Icell,Imax,Iback,rhc,rhb
1,0,-1.069,240.456,285.896,37.677,0.304,2.723
1,1,-0.801,243.155,440.102,42.425,0.541,1.832
1,2,-0.414,234.740,718.357,45.659,0.968,1.268
1,3,-0.929,245.172,533.826,44.377,1.241,1.862
1,4,0.333,242.063,625.994,47.121,2.305,0.988
1,5,-0.355,254.267,611.323,39.713,1.949,1.595
1,6,-0.934,263.040,627.318,44.081,1.599,1.435
1,7,-0.877,253.590,545.848,51.049,2.159,1.623
1,8,-0.597,261.633,515.677,48.497,2.666,1.340
1,9,-0.795,253.241,712.252,46.772,1.518,1.202
1,10,-1.250,261.026,598.599,40.251,1.777,1.496
1,11,-0.870,285.951,726.827,36.570,1.156,1.302
1,12,-1.782,260.842,400.637,38.558,1.586,1.850
1,13,-0.733,259.516,426.532,38.936,1.694,1.490
1,14,-1.292,251.217,675.548,38.687,1.274,1.176
1,15,-0.221,243.796,688.457,47.984,1.831,0.958
1,16,-1.035,280.204,779.497,43.734,1.504,1.244
1,17,-1.838,277.104,833.442,37.926,1.204,1.389
1,18,-1.751,252.431,689.419,39.800,1.433,1.361
1,19,-2.274,258.341,734.839,39.255,1.806,1.418
1,20,-1.812,269.400,810.894,42.821,1.226,1.243
1,21,-1.842,260.233,643.406,44.825,1.294,1.438
1,22,-1.325,272.178,703.060,39.546,1.673,1.086
1,23,-1.170,259.512,603.712,40.711,1.619,1.205
1,24,-0.619,261.607,670.086,41.332,1.557,0.899
1,25,-0.615,236.346,428.283,45.268,2.083,0.934
1,26,-2.000,253.203,598.140,36.322,1.087,2.328
1,27,-1.315,274.798,713.777,44.405,1.313,1.045
1,28,-1.873,247.280,473.542,35.882,0.692,2.468
1,29,0.654,210.045,442.914,37.347,3.953,0.776
1,30,-1.176,210.584,615.230,50.138,1.498,0.901
1,31,-0.593,222.837,585.373,40.316,1.867,1.552
1,32,-0.569,219.240,814.597,46.755,1.502,0.953
1,33,-0.295,220.683,710.102,39.145,1.993,1.091
1,34,-0.612,247.493,599.897,37.423,1.549,1.492
1,35,-0.296,267.093,793.884,40.435,1.315,1.152
1,36,-0.660,236.914,614.202,47.042,1.553,1.103
1,37,-0.759,242.068,663.012,41.450,1.461,1.498
1,38,-0.985,250.467,783.960,36.568,1.347,1.231
1,39,-1.306,250.832,667.636,41.895,1.448,1.396
1,40,0.151,240.572,610.100,43.797,1.638,1.319
1,41,-0.337,252.816,569.984,42.441,1.618,1.391
1,42,0.381,236.182,567.521,35.534,1.350,1.213
