Cell,profile,xoff,Icell,Imax,Iback,rhc,rhb
1,43,0.620,229.627,416.278,34.992,1.193,1.156
1,44,-0.030,228.246,393.137,39.462,0.955,1.353
1,45,0.848,223.432,420.037,42.517,2.229,1.135
1,46,-0.429,244.261,497.995,37.410,1.620,1.175
1,47,-0.032,255.639,497.282,45.053,1.224,1.257
1,48,0.584,242.350,435.939,40.956,1.910,1.168
1,49,0.811,248.153,698.175,40.798,1.857,1.038
1,50,0.002,247.190,804.000,34.677,1.315,1.346
1,51,-0.222,250.109,755.035,36.279,1.142,1.295
1,52,0.607,251.780,520.180,43.256,1.596,1.267
1,53,-0.474,242.226,434.641,46.473,1.622,1.435
1,54,1.203,245.398,478.256,47.392,1.564,1.057
1,55,-1.330,236.492,324.043,48.089,2.031,1.663
2,0,-0.299,284.923,651.561,47.506,1.220,0.979
2,1,-0.929,286.135,608.125,39.456,1.033,1.999
2,2,0.069,308.685,567.327,39.038,2.038,1.288
2,3,-0.786,289.005,775.167,35.979,1.370,1.277
2,4,-0.647,299.808,751.360,44.984,1.417,1.408
2,5,-0.978,305.579,527.930,38.706,1.145,1.456
2,6,-0.517,289.374,393.560,36.559,1.950,1.585
2,7,-0.540,269.460,652.312,36.517,1.273,1.237
2,8,-1.636,275.032,663.676,38.488,1.404,1.252
2,9,-0.348,285.348,619.570,36.859,1.618,1.140
2,10,-0.292,286.194,708.202,36.835,1.584,1.115
2,11,-0.967,286.666,756.585,43.724,1.356,1.070
2,12,-0.808,295.816,810.814,36.594,0.817,1.280
2,13,-1.324,279.578,587.202,38.542,1.430,0.992
2,14,-0.650,307.756,566.957,38.334,1.152,1.058
2,15,-1.628,286.313,591.108,43.314,1.782,1.084
2,16,-1.699,308.099,700.019,38.597,1.275,1.239
2,17,-1.879,312.795,533.552,38.082,1.575,1.297
2,18,-1.562,309.810,699.604,37.146,1.683,1.215
2,19,-1.555,308.580,635.577,33.654,1.817,1.351
2,20,-0.572,294.680,430.112,37.510,1.404,1.016
2,21,-1.086,288.223,407.233,39.438,2.625,1.514
2,22,-0.943,286.703,515.486,37.401,2.135,1.103
2,23,-0.456,309.986,649.856,38.665,1.214,0.964
2,24,-1.009,248.335,430.617,33.897,4.300,1.609
2,25,-1.123,279.372,460.202,40.996,2.178,1.211
2,26,-2.533,299.333,489.477,41.040,1.160,1.440
2,27,-1.661,293.313,484.311,37.629,1.662,1.734
2,28,-0.214,288.897,566.088,48.186,1.223,0.813
2,29,-0.036,277.741,667.022,40.376,1.877,0.785
2,30,1.308,280.543,444.852,35.579,2.936,0.883
2,31,-0.602,306.639,510.454,32.647,1.086,1.308
2,32,-0.366,269.681,419.647,38.467,1.931,1.532
2,33,-0.700,260.499,600.199,39.460,1.565,1.125
2,34,-1.045,268.288,712.324,44.298,1.343,1.362
2,35,-0.294,281.441,718.257,38.219,1.463,1.268
2,36,-0.288,265.580,631.081,40.157,1.418,1.144
2,37,-0.140,274.881,541.189,29.411,1.067,1.458
2,38,0.398,269.323,515.964,42.175,1.940,1.130
2,39,-0.016,261.408,771.494,39.912,1.277,1.128
2,40,-0.556,249.739,749.942,38.479,1.220,1.254
2,41,0.998,262.568,537.607,33.341,2.511,0.002
2,42,0.968,247.914,572.537,43.251,2.750,0.030
2,43,0.050,283.272,701.780,37.179,0.789,1.401
2,44,0.505,273.134,731.642,44.200,1.521,1.249
2,45,-0.148,291.557,746.498,36.964,1.235,1.176
2,46,-0.120,281.056,665.614,51.704,1.578,1.048
2,47,0.604,286.453,614.726,50.252,1.744,1.052
2,48,0.655,255.691,580.465,54.484,2.413,1.185
2,49,-0.215,286.613,566.069,47.957,1.888,1.369
2,50,0.190,293.108,638.665,43.452,1.819,1.204
2,51,0.092,284.930,449.330,37.466,2.659,1.409
2,52,-0.485,273.454,642.489,35.144,1.076,1.355
2,53,-0.111,275.603,704.672,47.579,1.286,1.139
2,54,-1.527,265.196,970.532,34.176,0.930,1.396
2,55,-1.700,291.437,958.100,55.124,0.778,1.427
2,56,-0.376,277.454,881.754,44.034,1.158,0.876
3,0,-0.879,268.806,391.542,32.014,0.336,2.229
3,1,-0.484,273.954,364.433,30.155,1.025,2.359
3,2,-0.336,269.397,457.371,37.121,1.215,1.210
3,3,-1.040,257.527,451.821,37.013,1.421,1.956
3,4,0.494,255.968,594.053,42.482,2.160,0.869
3,5,0.077,267.033,486.398,43.414,1.746,1.432
3,6,-0.209,243.647,490.081,50.673,2.011,1.167
3,7,-0.610,258.881,561.757,41.910,2.063,1.228
3,8,-0.617,288.608,565.677,46.728,1.582,1.492
3,9,-0.968,295.588,562.435,41.651,1.792,1.419
3,10,-0.753,290.637,659.052,48.221,2.570,1.148
3,11,-0.590,290.195,433.099,37.304,3.499,1.610
3,12,-1.129,291.700,383.505,38.293,1.588,1.585
3,13,-1.289,310.628,443.418,47.203,1.048,1.213
3,14,-1.140,322.140,436.100,35.104,2.020,1.370
3,15,-1.098,289.361,522.162,40.320,0.637,1.216
3,16,-0.186,288.054,444.250,40.654,1.665,1.050
3,17,-0.897,318.281,432.790,38.750,0.817,1.349
3,18,-0.967,288.558,401.095,35.960,1.463,1.581
3,19,-0.575,310.926,445.267,36.019,1.579,1.334
3,20,-0.711,308.333,414.050,43.990,1.128,0.996
3,21,-0.453,313.501,351.310,31.132,1.504,1.305
3,22,-1.666,312.232,335.355,32.948,0.168,1.638
3,23,-0.563,317.518,586.473,34.327,1.345,0.904
3,24,-2.177,297.874,451.761,33.310,1.339,1.811
3,25,-1.731,288.639,413.120,34.287,2.356,1.938
3,26,-1.089,320.484,387.767,39.237,1.481,1.488
3,27,0.076,291.418,416.312,41.463,3.083,0.682
3,28,0.977,289.655,487.068,40.392,3.582,0.016
3,29,-2.254,292.149,432.391,44.827,3.203,1.010
3,30,-0.167,292.181,718.370,32.424,1.480,0.788
3,31,-0.357,278.397,480.981,34.015,2.328,1.017
3,32,0.211,317.552,653.718,32.474,1.667,0.905
3,33,-0.475,316.720,748.004,39.828,1.260,0.961
3,34,-0.494,348.151,532.917,44.014,1.351,1.059
3,35,-0.279,313.551,450.301,46.316,4.140,0.960
3,36,-0.373,324.936,448.942,32.927,1.292,1.357
3,37,-0.189,340.613,553.557,35.023,1.063,1.432
3,38,-0.168,327.424,633.680,41.471,0.952,1.068
3,39,0.109,345.356,574.928,28.603,0.711,1.327
3,40,-0.024,338.737,618.593,38.058,0.875,1.255
3,41,-0.887,318.166,391.970,35.231,2.002,1.722
3,42,0.167,335.066,471.029,35.149,2.018,1.047
3,43,-0.241,335.299,476.088,38.682,0.903,1.305
3,44,-0.336,334.212,476.968,34.193,0.367,1.482
3,45,0.668,356.292,421.209,33.610,1.061,1.284
3,46,0.344,348.001,367.743,33.645,0.398,1.555
3,47,0.007,348.567,380.200,36.625,3.177,1.357
3,48,-0.001,315.179,551.941,26.462,1.198,1.189
3,49,0.734,307.685,447.960,42.426,1.390,1.245
3,50,-0.369,277.683,433.503,34.494,1.047,1.676
3,51,0.252,278.783,478.158,36.588,1.321,1.104
3,52,0.581,301.610,567.910,42.972,1.137,1.146
3,53,0.735,258.267,755.014,39.693,1.034,1.103
3,54,1.177,239.413,419.437,37.077,1.939,0.981
3,55,-1.345,257.187,503.290,38.037,1.078,1.398
